Account General Rate Type,Account Is Active,Account Is Allocated Overhead,Account Is Balancesheet,Account Is GAAP,Account Key,Account Level 0 Name,Account Level 0 Number,Account Level 1 Name,Account Level 1 Number,Account Level 2 Name,Account Level 2 Number,Account Number,Account Type Name,Account Type Sequence,Amount USD,Learn More,Actual,Forecast,Variance,Variance %,Department Is Active,Department Key,Department Level 0 Name,Department Level 0 Number,Department Level 1 Name,Department Level 1 Number,Department Number,Number of Records,Path,Period Ending Date,Scenario,Sheet,Version
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,713,716.16",Explore Tableau for Finance Analytics,"$1,713,716",$0,"($1,713,716)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$2,109,161.41",Explore Tableau for Finance Analytics,"$2,109,161",$0,"($2,109,161)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,636,487.20",Explore Tableau for Finance Analytics,"$1,636,487",$0,"($1,636,487)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,699,424.80",Explore Tableau for Finance Analytics,"$1,699,425",$0,"($1,699,425)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$2,311,898.93",Explore Tableau for Finance Analytics,"$2,311,899",$0,"($2,311,899)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$2,146,541.00",Explore Tableau for Finance Analytics,"$2,146,541",$0,"($2,146,541)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$2,255,499.60",Explore Tableau for Finance Analytics,"$2,255,500",$0,"($2,255,500)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$2,802,867.38",Explore Tableau for Finance Analytics,"$2,802,867",$0,"($2,802,867)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$6,389.33",Explore Tableau for Finance Analytics,"$6,389",$0,"($6,389)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$3,500.04",Explore Tableau for Finance Analytics,"$3,500",$0,"($3,500)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$4,137.67",Explore Tableau for Finance Analytics,"$4,138",$0,"($4,138)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$5,915.98",Explore Tableau for Finance Analytics,"$5,916",$0,"($5,916)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$8,209.30",Explore Tableau for Finance Analytics,"$8,209",$0,"($8,209)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,690.40",Explore Tableau for Finance Analytics,"$11,690",$0,"($11,690)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$14,840.37",Explore Tableau for Finance Analytics,"$14,840",$0,"($14,840)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$11,886.86",Explore Tableau for Finance Analytics,"$11,887",$0,"($11,887)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$9,769.06",Explore Tableau for Finance Analytics,"$9,769",$0,"($9,769)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$13,878.62",Explore Tableau for Finance Analytics,"$13,879",$0,"($13,879)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$13,098.54",Explore Tableau for Finance Analytics,"$13,099",$0,"($13,099)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,17,Other Income,40000,Other Income,40000,Other Income,40000,40000,Other Income,4,"$24,820.23",Explore Tableau for Finance Analytics,"$24,820",$0,"($24,820)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$72,340.00",Explore Tableau for Finance Analytics,"$72,340",$0,"($72,340)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$46,439.66",Explore Tableau for Finance Analytics,"$46,440",$0,"($46,440)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($77,545.81)",Explore Tableau for Finance Analytics,"($77,546)",$0,"$77,546",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$1,584,593.49",Explore Tableau for Finance Analytics,"$1,584,593",$0,"($1,584,593)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$1,098,534.17",Explore Tableau for Finance Analytics,"$1,098,534",$0,"($1,098,534)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($619,502.61)",Explore Tableau for Finance Analytics,"($619,503)",$0,"$619,503",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($162,977.65)",Explore Tableau for Finance Analytics,"($162,978)",$0,"$162,978",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$191,811.56",Explore Tableau for Finance Analytics,"$191,812",$0,"($191,812)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$715,709.46",Explore Tableau for Finance Analytics,"$715,709",$0,"($715,709)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$30,248.97",Explore Tableau for Finance Analytics,"$30,249",$0,"($30,249)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"$244,707.25",Explore Tableau for Finance Analytics,"$244,707",$0,"($244,707)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,18,Other Expense,50000,Other Expense,50000,Other Expense,50000,50000,Other Expense,5,"($3,572,516.80)",Explore Tableau for Finance Analytics,"($3,572,517)",$0,"$3,572,517",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$187,267.59",Explore Tableau for Finance Analytics,"$187,268",$0,"($187,268)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$2,888.18",Explore Tableau for Finance Analytics,"$2,888",$0,"($2,888)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$44,414.93",Explore Tableau for Finance Analytics,"$44,415",$0,"($44,415)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$50,449.61",Explore Tableau for Finance Analytics,"$50,450",$0,"($50,450)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$153,335.16",Explore Tableau for Finance Analytics,"$153,335",$0,"($153,335)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$5,330.84",Explore Tableau for Finance Analytics,"$5,331",$0,"($5,331)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$173,393.48",Explore Tableau for Finance Analytics,"$173,393",$0,"($173,393)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$36,834.06",Explore Tableau for Finance Analytics,"$36,834",$0,"($36,834)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$33,588.31",Explore Tableau for Finance Analytics,"$33,588",$0,"($33,588)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$18,099.02",Explore Tableau for Finance Analytics,"$18,099",$0,"($18,099)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$134,610.01",Explore Tableau for Finance Analytics,"$134,610",$0,"($134,610)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,$402.81,Explore Tableau for Finance Analytics,$403,$0,($403),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$4,574.62",Explore Tableau for Finance Analytics,"$4,575",$0,"($4,575)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$111,841.13",Explore Tableau for Finance Analytics,"$111,841",$0,"($111,841)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$4,097.69",Explore Tableau for Finance Analytics,"$4,098",$0,"($4,098)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$29,568.05",Explore Tableau for Finance Analytics,"$29,568",$0,"($29,568)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$41,174.96",Explore Tableau for Finance Analytics,"$41,175",$0,"($41,175)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$183,202.38",Explore Tableau for Finance Analytics,"$183,202",$0,"($183,202)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$1,532.61",Explore Tableau for Finance Analytics,"$1,533",$0,"($1,533)",,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$23,986.66",Explore Tableau for Finance Analytics,"$23,987",$0,"($23,987)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$235,557.86",Explore Tableau for Finance Analytics,"$235,558",$0,"($235,558)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$6,139.97",Explore Tableau for Finance Analytics,"$6,140",$0,"($6,140)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$46,244.83",Explore Tableau for Finance Analytics,"$46,245",$0,"($46,245)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$125,572.09",Explore Tableau for Finance Analytics,"$125,572",$0,"($125,572)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$154,350.84",Explore Tableau for Finance Analytics,"$154,351",$0,"($154,351)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,$304.17,Explore Tableau for Finance Analytics,$304,$0,($304),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$4,887.37",Explore Tableau for Finance Analytics,"$4,887",$0,"($4,887)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$166,227.60",Explore Tableau for Finance Analytics,"$166,228",$0,"($166,228)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$8,514.03",Explore Tableau for Finance Analytics,"$8,514",$0,"($8,514)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$15,868.44",Explore Tableau for Finance Analytics,"$15,868",$0,"($15,868)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$161,173.67",Explore Tableau for Finance Analytics,"$161,174",$0,"($161,174)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$162,235.77",Explore Tableau for Finance Analytics,"$162,236",$0,"($162,236)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,$96.32,Explore Tableau for Finance Analytics,$96,$0,($96),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$11,140.23",Explore Tableau for Finance Analytics,"$11,140",$0,"($11,140)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$112,409.47",Explore Tableau for Finance Analytics,"$112,409",$0,"($112,409)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,9,Expense,30000,Human Resources,32000,Human Resources,32000,32000,Expense,3,"$16,156.09",Explore Tableau for Finance Analytics,"$16,156",$0,"($16,156)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
